Timestamp,Which tier was played?,"What is the Discord tag of the Winner, with ID (e.g. Ejeffers1239#9016)",What is the Discord tag of the Loser? (Player 2 if tied.),What was the Score? [Winner],What was the Score? [Loser],Submit the .yrp file(s) of the match.,Submit the winner's YDK file,"Submit the loser's YDK file (Obtainable via the ""replay"" tab in EdoPro, if not just asking)",Winner's Deck Archetype(s),Loser's Deck Archetype(s)
9/30/2022 11:02:03,Layer 1 (Vanilla),Jinxsei#1535,ChibiGohan#9855,2,1,"https://drive.google.com/open?id=1kR4jQFH5ehLQkPll5fMYoQ0nnLdfULei, https://drive.google.com/open?id=1hGIj2qHozUhElWoULbdyDmuqXFD0TTAq, https://drive.google.com/open?id=1Az7NkaxUe3ju7TSg1WYiq831jtYEz-S0",https://drive.google.com/open?id=1E-O9BxLC7CwCu4CHN3gNjtxlmULPvuuP,https://drive.google.com/open?id=1mNUhIuDsyffi-LHVP8w4f_1aNbHOdsww,Drytron (Megalith Vendread),T.G.
9/30/2022 12:25:57,Layer 1 (Vanilla),JoyousArkoneus#8954,kata#1031,2,1,"https://drive.google.com/open?id=1IoOBqCvCOKGPlYBpIa_5OeqFsabqQXFE, https://drive.google.com/open?id=1GqTuEuWKihSlG28p4UOSsbUT7uqEo_Ia",https://drive.google.com/open?id=1m6o8dd3B3Dhll7XAOczBSgseL-XtHQre,https://drive.google.com/open?id=1sVIz7PC4NrPHvRpQ57ogRKm7hMd3tEbo,Hero,True-Draco/Magical Musketeers
9/30/2022 12:59:34,Layer 1 (Vanilla),Querrec#8552,JoyousArkoneus#8954,2,0,"https://drive.google.com/open?id=1hLcRqPH_1PzSL65F38XuHuoU4waNdCWi, https://drive.google.com/open?id=1QQDloxoXPuB50oVHp9an64AvF7n_UlJo",https://drive.google.com/open?id=1czAe_WAh0r9CdxXMjorxPftVfuK8TCGO,https://drive.google.com/open?id=1AjPkl8HNPQ-llycdbCWNExmlaALeEgOJ,Branded Despia,HEROES
9/30/2022 13:50:09,Layer 1 (Vanilla),Jinxsei#1535,kata#1031,2,0,"https://drive.google.com/open?id=1j6CGxUKwT0fPqIUi6zAhCdxXxIYYxpLM, https://drive.google.com/open?id=1i49hCcDTRsskvhtIM9PBH-tKjMJnZgr9",https://drive.google.com/open?id=1xNfHwnY5Z2dLntoS6SUig4gmNgNSjx9J,https://drive.google.com/open?id=16ZWRQayHQXBZem2eH5o4NZOGCwOxbOZE,Unchained,Magical Musketeer
9/30/2022 16:18:32,Layer 1 (Vanilla),Preistest_Dragon#5022,Isla#1154,2,0,"https://drive.google.com/open?id=19DeLU6VIi9zU3usde_ROU6dtY4nGaIeG, https://drive.google.com/open?id=1Odv1ZH6REKG2FIDQZrhWFgS2XtLpEF4s",https://drive.google.com/open?id=1BQOa9ZRo434m0dHhiQ9Q_TAgUCu7uODT,https://drive.google.com/open?id=1YY97qQNg5WhJCi_CmL3T9VJJpx5kH5NQ,Libromancer Punk,Utopia
9/30/2022 17:00:00,Layer 1 (Vanilla),idkjustputagoodname#9610,Preistest_Dragon#5022,2,0,"https://drive.google.com/open?id=1_GzG-PNgjcpi9UnCzSTUVF8qYJNosOAw, https://drive.google.com/open?id=1tGBr9aIrR9EBOJI-sIqz5l4O2J-L_xYW",https://drive.google.com/open?id=1REbVMb1yZn7_ohYGzrhKt0nP4UfELKeR,https://drive.google.com/open?id=19056olc9YGik_7YcObtwjrbIfUE3g8Ax,Brave zoo dpe,Libromancer
9/30/2022 17:28:20,Layer 1 (Vanilla),WhiteAurorus#1345,Megalith Phul#3133,2,1,"https://drive.google.com/open?id=1McrL0oRTJNPVLVxfj51DY4tUYMS1H8Zh, https://drive.google.com/open?id=1xmgk-nRvZgHIiFgobuz7tWmMf88oM9wj, https://drive.google.com/open?id=12cliGFy35J_6_IiaRPLYGX4MO11uREVQ",https://drive.google.com/open?id=1Rluu15YsTfcZ2bZ75abi5Hhqma7bzPCr,https://drive.google.com/open?id=1XGYAa7EkL5q56g9ZlTmpyh1vrCadOspo,Exosister,Megalith
9/30/2022 17:51:59,Layer 1 (Vanilla),idkjustputagoodname#9610,JoshuaDragonPillow#3441,2,0,,https://drive.google.com/open?id=1GGtTdlLpwFX3Iwv2-EcjQ8s8FN5vToOv,https://drive.google.com/open?id=16P5sRxrzOuUUu8xWenlZFTO4mHmdpMWD,Brave zoo dpe,Tear danger brave?
9/30/2022 18:11:14,Layer 1 (Vanilla),idkjustputagoodname#9610,Isla#1154,2,1,,https://drive.google.com/open?id=1cPSUf6GpEdO7hExzIt9UegoaZdKZRRFH,https://drive.google.com/open?id=10i0Kx5XVSGxmqFq1wi7hTtnEmJlvfACJ,brave zoo dpe,ONE PUNCH MAAAAAAAN.....utopia
9/30/2022 18:34:01,Layer 1 (Vanilla),Malleus#2670,Spydorking#2735,2,1,,https://drive.google.com/open?id=1KX_3myv-7FMhsRK19O_0AOskSLY-mi-y,https://drive.google.com/open?id=17OpQt6iiwJ5o4oqvRRQZBta4UCttTTAk,P.U.N.K.,Rikka Sunavalon
9/30/2022 18:36:50,Layer 1 (Vanilla),﻿kata#1031,WhiteAurorus#1345,2,1,"https://drive.google.com/open?id=1LV_M55X_euq2Mnai8H5AfHoJcG5mW6-H, https://drive.google.com/open?id=1eT62WEmk5UdDYK0CIBTI3N4Y-ACxmoti, https://drive.google.com/open?id=1b21ZmHb8VEqY6b84YXFpi72_AzkbeiCJ",https://drive.google.com/open?id=17Q9sE5xYtC-AsScDSbHfKBFEVKN8MFVj,https://drive.google.com/open?id=1sP27OtF90svH3gpjjnoJcMlKw8UAPkLu,Madolche Adventurer,Exosister
9/30/2022 22:00:53,Layer 1 (Vanilla),kata#1031,Querrec#8552,2,0,"https://drive.google.com/open?id=1BzwT0Yxx5A_740pbkfdNf6xYNITe7hCe, https://drive.google.com/open?id=1dRze7iLkfkxgmmaqRvDqKMP7OAheWAwS",https://drive.google.com/open?id=1wo5RraBaaE19iZbZOw0-GX4F8SI6Y1BV,https://drive.google.com/open?id=1yvxPp35N8KJILSVK7MOUAXm4-Qil7Vo5,adventurer madolche,magicians souls spyral
10/1/2022 2:31:26,Layer 1 (Vanilla),JoshuaDragonPillow#3441,Aidan#9145,2,0,"https://drive.google.com/open?id=1BlqQHIFWcGb_VH3fL3m7kP5AWnw0ke3d, https://drive.google.com/open?id=1xJqz53sSzRgalFmDQU9kdun67yBWi6V2",https://drive.google.com/open?id=1YcyHunrbfOSIxjNLuJjpecc8JjSp7tHG,https://drive.google.com/open?id=1iUR367oAVH7CrTFFMsAaSUK_ffxLsGWD,Sky Striker,Salamangreat
10/1/2022 6:33:50,Layer 1 (Vanilla),Atlas/Celeste#8465,ChibiGohan#9855,2,0,"https://drive.google.com/open?id=1IcByuxcCs82Cotfn5_d6mzwj7hfXdCNf, https://drive.google.com/open?id=1unT6UTC_CIJTgAPkhzmY55soAl4PO7pj",https://drive.google.com/open?id=1FpJpWsErBCBiHGZeproX3w0tskA1agTj,https://drive.google.com/open?id=1Pju87ObZzZ8qmuiyW8UBTJlB6sCbn8aF,True Draco Magical Musketeers,Evilswarm
10/1/2022 8:09:36,Layer 1 (Vanilla),Atlas/Celeste#8465,Surtr#6751,2,0,"https://drive.google.com/open?id=1TVqdoscuMOtmzdfx-qZJqH2GGMM7CHFU, https://drive.google.com/open?id=1IGO8qJn7Z9WshwRdLE6CBj0UWd5hbvcE",https://drive.google.com/open?id=11Ve2HhEJqp14OlFE1L8M5Miuk35ON4Ad,https://drive.google.com/open?id=1mtFwxgD2b70ytS75GyAnNNEpluLVpnZJ,Branded Despia,Adventurer P.U.N.K. Crystron
10/1/2022 9:57:49,Layer 1 (Vanilla),Malleus#2670,JoshuaDragonPillow#3441,2,0,"https://drive.google.com/open?id=1pIEvu-dqHQsqa2g0FK0cwFM9kHMD9yBC, https://drive.google.com/open?id=1gVRNXvUGcBVol1QP6p1KLqTco60hzqOx",https://drive.google.com/open?id=1UhLZ80cH8bpalYM8ecFM4hsB-YRKHTTA,https://drive.google.com/open?id=1Y3OL_L0d8WMJxb6yoc9Z5b_4RHqaaJvb,P.U.N.K.,Mathmech Eldlich
10/1/2022 10:07:53,Layer 1 (Vanilla),Atlas/Celeste#8465,Jinxsei#1535,2,1,"https://drive.google.com/open?id=1Vk0xR7QrHkMKLbOO1NHpKKdt8SY0wviu, https://drive.google.com/open?id=1WrWg_oNa87bkMWNnUf8KTni43NLlAvlb, https://drive.google.com/open?id=1JSNX9UMjTYDkdSZXV-wYml4bn7HKgzvF",https://drive.google.com/open?id=1Q0rzt0IlhI-AWh5NA5Fe-gjI1FPrQJJu,https://drive.google.com/open?id=1xbjMtG_YQgqkJWq5ie-PXXHfmmsDsZa7,Danger! Adventure Orcust,Adventure Spright Prank-Kid
10/1/2022 11:00:15,Layer 1 (Vanilla),kata#1031,Atlas/Celeste#8465,2,1,"https://drive.google.com/open?id=1qsjgioJrCpnzKTEhxMbEg5D1mX2DWVzK, https://drive.google.com/open?id=1zj9eyac1he4iytcdUKfR_EOTHRLCg7jR, https://drive.google.com/open?id=16UWvUGt_lwI4SsT2yL8oxRi_aSzVZOjx",https://drive.google.com/open?id=1UelfOVjCnxPgag1pyO7kHJHZpMzVzM04,https://drive.google.com/open?id=1E2k1BWNVwuvXsbFgWzCHwPGoiuKTYS8H,adventurer madolche,adventurer orcust
10/1/2022 11:26:44,Layer 1 (Vanilla),Isla#1154,Jinxsei#1535,2,0,"https://drive.google.com/open?id=1XC_yKE5Y0rTOXUXHBmzPSp-VPqGX-mI-, https://drive.google.com/open?id=14cBlaaSIMz8nHSZKUCs-n_Wkx51iEBxB",https://drive.google.com/open?id=12TgxaR-_gP_ap6heWK4CyoWE02ZOjlTI,https://drive.google.com/open?id=1fPD-qHKTOHont03F7X_Pez5Nqs1LOYrg,Utopia,Adventure Prank-Kids Spright
10/1/2022 11:38:42,Layer 1 (Vanilla),Querrec#8552,Surtr#6751,2,0,"https://drive.google.com/open?id=1TCIUSZMO8_fAiO11stDxp90cdHXKCa_5, https://drive.google.com/open?id=1ZgpBBAkvsSmfOVn_IvhFAli1XIz9PWcn",https://drive.google.com/open?id=1Y8l1n_VPuLUvmJAb5fTTaibca-Q_lVbV,https://drive.google.com/open?id=1jm4srHMpX1w3T2Q1MtusAKPW3Y3lJeMC,SPYRAL,Predaplant
10/1/2022 12:30:09,Layer 1 (Vanilla),Surtr#6751,poké#4070,2,0,"https://drive.google.com/open?id=18nuYaYEp_jFOyGHXOv1FhdV7_k_GPty4, https://drive.google.com/open?id=1MRa_t2_XlEIDqfYRNmlHaM9uwuyX6f_b",https://drive.google.com/open?id=10dN0UunjIR2-wGW64rjvt-fmJhfabpKx,https://drive.google.com/open?id=1W83jlNcyjSKmOcxSTn5iQHSPrbnXHssa,heros,fossils/adamancipators
10/1/2022 17:23:03,Layer 1 (Vanilla),Preistest_Dragon#5022,Malleus#2670,2,1,"https://drive.google.com/open?id=1mEWx42WvNjzN1zjxHH78NuDpDLAQczJA, https://drive.google.com/open?id=1afu8d7LD-lJqdTy0DvfsWmWwG3p4jmiX, https://drive.google.com/open?id=1jTxHwrqTR--NJ4ckzyC8YEofJdU4Mkwi",https://drive.google.com/open?id=14zZsspprtoxlBwdDH-pWeXRh-mKRejg5,https://drive.google.com/open?id=1mjZ0BkoAiGjsxg6tVdv5ht-rZJGo2tPT,Vanity's Ruler (Libromancer P.U.N.K.),Hot Red Dragon Archfiend King Calamity (P.U.N.K.)
10/1/2022 18:15:01,Layer 1 (Vanilla),Ejeffers1239#9016,Preistest_Dragon#5022,2,0,"https://drive.google.com/open?id=18bc3T10nriqouFw5_ZxT66j8B3ix8sZ3, https://drive.google.com/open?id=18jDTI5v_MIUKw4Deafop2UX9O9sfWMXR",https://drive.google.com/open?id=1wHlWQIfq7vo-gc-Soy-GucbvtNpnXo47,https://drive.google.com/open?id=13Z9E1uVcMm_9x1p_47a91VvYdMlPGJ10,Marincess,PUNK Libromancer
10/1/2022 18:34:17,Layer 1 (Vanilla),Querrec#8552,Jinxsei#1535,2,0,"https://drive.google.com/open?id=1o0kvlR0ThRgfVLJub2xerMGs87hWL4WY, https://drive.google.com/open?id=1UaZ2tFcP9Fk_fIabrT51djggyX9nga-M",https://drive.google.com/open?id=1Q0m4UU_BuZA9gCSjIQjgPaCmuhuLRydG,https://drive.google.com/open?id=1w6QRV_xFFpLw-CfWVo8nZY_7IG5KqIYL,SPYRAL,Adventure Prank Spright
10/1/2022 19:12:27,Layer 1 (Vanilla),Surtr#6751,Blaster blade#7235,2,0,"https://drive.google.com/open?id=1xjBX6HU8iiiS7WODwB_0xpFreTdJZ6d9, https://drive.google.com/open?id=1rWWHoaX8EMCyfQbIo6pEPF6nRAcp6O8p",https://drive.google.com/open?id=1wQg-wGmNYvF46d8TZo3RLynBOJUaWi9k,https://drive.google.com/open?id=17HT--TGozGc2zs8_o6IGYfps5hvz778H,"Madolche, Generaider","Dark Magician, Magician Girl"
10/2/2022 10:29:33,Layer 1 (Vanilla),Isla#1154,Atlas/Celeste#8465,2,1,"https://drive.google.com/open?id=1JoJkjnXiy85FtD5AgwBfilmY-X7LdvGF, https://drive.google.com/open?id=1060KJxJ-tiRqd9cE1S0yuYpnpqOBIIri, https://drive.google.com/open?id=1bk05kmbdEeOvcTiY4ovzh56jueakIZhk",https://drive.google.com/open?id=1-B9RhxqOg_o1_MtR6YsEPeHL4uB46951,https://drive.google.com/open?id=1JtuH9N1OOqWjFP_IXMSAt6BnRpR_aJ1r,Rank 4 Spam,Striker Orcust
10/2/2022 10:31:25,Layer 1 (Vanilla),Atlas/Celeste#8465,Isla#1154,2,0,"https://drive.google.com/open?id=14HsC9yhwig_5akCf-_91lQ7GQ2dIr8mw, https://drive.google.com/open?id=1MvYTx4nRztxgn3N-bQPsir4ZjXibDUuT",https://drive.google.com/open?id=1gRysZ3qWYzSUyPoHvMErjo4ubnk3FtMp,https://drive.google.com/open?id=1A4N81KC46eNSrB3Etvw_efW4degFD3T-,Adventure Danger Orcust,Lunalight Utopia
10/2/2022 13:04:51,Layer 1 (Vanilla),idkjustputagoodname#9610,Kata#103q,2,1,"https://drive.google.com/open?id=11wO69Rs8FqLh6GJoDXFxhKqxsh9_TnAk, https://drive.google.com/open?id=1eaPuEK-wl1TI1sScj6WDtZL9gG5N6pIu, https://drive.google.com/open?id=1okm0pXrnztdsDua43ygy1Wu69I97FYoh",https://drive.google.com/open?id=1ZhPfTka2t9BZU4UID9zfaWW2-hIzRe8y,https://drive.google.com/open?id=1lZ2nU1h7pFDC01hCR1-SmQryRHLv4-qe,Runick with some s t u n (I am not fun :)),brave madolche
10/2/2022 15:56:13,Layer 1 (Vanilla),JoshuaDragonPillow#3441,Blaster blade#7235,2,0,"https://drive.google.com/open?id=1iVRPK9_FHAutpd-2kHTRo94yrfgNDWnm, https://drive.google.com/open?id=12OmcYBQpyVbV1ALGaH2YUxaxrFRuFwGe",https://drive.google.com/open?id=1h_bIwY0AtIrv9giC6wiQRfr-rdaggVg_,https://drive.google.com/open?id=1Y-V6Kul1pwWBE3yCysOzJOE90Jr8NMeR,Brave Spright Prank-kid,Dark Magician/Dark Magician Girl
10/2/2022 16:29:52,Layer 1 (Vanilla),JoshuaDragonPillow#3441,Querrec#8552,2,0,"https://drive.google.com/open?id=1yrz6jWVbCyOJqC8G4nJGknaHY9OG72V4, https://drive.google.com/open?id=1hH0CxcQ6HHry5p74JuQYmsx5WFzWcSRU",https://drive.google.com/open?id=1CNg2u2cL6M8buuSr-Hb1lyDVBkCXmHCR,https://drive.google.com/open?id=12HuGm0Kr-C_2d-H_PJwFqIgz5_iwxF_6,The Golden Equation (MathmechEldlichAdventure),Branded